City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,dass,10.0,9.5167,22.2,37,100,1.83,NG,1698027156
168,namibe,-15.1961,12.1522,20.03,87,19,3.3,AO,1698027156
169,fisterra,42.9049,-9.2629,12.92,84,100,2.86,ES,1698027157
170,pacific grove,36.6177,-121.9166,15.84,90,100,3.09,US,1698027157
171,san carlos del zulia,9.0,-71.9135,25.84,79,100,1.34,VE,1698027158
172,georgetown,5.4112,100.3354,28.95,70,20,2.06,MY,1698026938
173,igarka,67.4667,86.5833,-1.95,96,99,4.77,RU,1698027158
174,avarua,-21.2078,-159.775,26.03,83,75,3.09,CK,1698027159
175,saipan,15.1355,145.701,31.39,74,75,7.72,MP,1698027160
176,colotlan,22.1,-103.2667,16.93,63,42,3.05,MX,1698027161
177,la'ie,21.6477,-157.9253,28.21,72,62,2.68,US,1698027162
178,huarmey,-10.0681,-78.1522,20.67,87,27,4.76,PE,1698027162
179,enewetak,11.3474,162.3373,28.64,71,99,4.4,MH,1698027162
180,la ronge,55.1001,-105.2842,-1.86,59,75,3.6,CA,1698027162
181,gimbi,9.1667,35.8333,12.77,97,98,0.44,ET,1698027163
182,barpathar,26.3,93.8667,21.93,83,86,1.49,IN,1698027163
183,hithadhoo,-0.6,73.0833,27.25,69,88,5.23,MV,1698027163
184,balkanabat,39.5108,54.3671,16.24,72,78,2.39,TM,1698027164
185,hasaki,35.7333,140.8333,18.22,50,100,2.84,JP,1698027164
186,vadso,70.0744,29.7487,-1.91,80,40,5.14,NO,1698027165
187,alice springs,-23.7,133.8833,32.75,11,3,4.63,AU,1698027067
188,ulaangom,49.9811,92.0667,5.22,66,41,1.54,MN,1698027165
189,tromso,69.6496,18.957,0.01,86,75,1.03,NO,1698027165
190,colares,38.7992,-9.4469,15.44,91,100,2.24,PT,1698027166
191,west island,-12.1568,96.8225,26.99,69,40,4.63,CC,1698027166
192,tangalle,6.024,80.7911,23.09,88,100,3.29,LK,1698027166
193,serdar,38.9764,56.2757,17.32,65,95,1.87,TM,1698027166
194,nieves,15.3274,120.9485,27.73,75,100,1.93,PH,1698027167
195,vila velha,-20.3297,-40.2925,20.97,88,100,1.03,BR,1698027167
196,tha yang,12.9577,99.9055,26.7,84,99,2.83,TH,1698027167
197,artondale,47.2995,-122.6207,12.19,89,75,0.0,US,1698027168
198,spring creek,40.7266,-115.5859,16.56,42,94,1.92,US,1698027168
